Description,Stress Level
"Feeling heroic, euphoric, or invulnerable",6
Denial,5
Anxiety or fear,8
Worry about safety of self or others,7
Irritability or anger,8
Restlessness,5
"Sadness, moodiness, grief, or depression",7
Vivid or distressing dreams,6
Guilt or 'survivor guilt',7
"Feeling overwhelmed, helpless, or hopeless",8
"Feeling isolated, lost, lonely, or abandoned",8
Apathy,6
Over-identification with survivors,5
Feeling misunderstood or unappreciated,6
None of the Above,3
Other,5
"Persistent stress, feeling out of control",9
"Panic attacks, increased heart rate, chest pain, or hyperventilation",10
"Feeling heroic, euphoric, or invulnerable, Denial",5
"Anxiety or fear, Worry about safety of self or others",8
"Irritability or anger, Restlessness",7
"Sadness, moodiness, grief, or depression, Vivid or distressing dreams",7
"Guilt or 'survivor guilt', Feeling overwhelmed, helpless, or hopeless",8
"Feeling isolated, lost, lonely, or abandoned, Apathy",7
"Over-identification with survivors, Feeling misunderstood or unappreciated",6
"None of the Above, Other",4
"Persistent stress, feeling out of control, Panic attacks, increased heart rate, chest pain, or hyperventilation",10
"Feeling heroic, euphoric, or invulnerable, Anxiety or fear",7
"Denial, Worry about safety of self or others",6
"Restlessness, Sadness, moodiness, grief, or depression",6
"Vivid or distressing dreams, Guilt or 'survivor guilt'",7
"Feeling overwhelmed, helpless, or hopeless, Feeling isolated, lost, lonely, or abandoned",9
"Apathy, Over-identification with survivors",5
"Feeling misunderstood or unappreciated, None of the Above",4
"Other, Persistent stress, feeling out of control",8
"Panic attacks, increased heart rate, chest pain, or hyperventilation, Feeling heroic, euphoric, or invulnerable",9
"Restlessness, Guilt or 'survivor guilt'",6
"Sadness, moodiness, grief, or depression, Feeling misunderstood or unappreciated",7
"None of the Above, Persistent stress, feeling out of control",6
"Feeling heroic, euphoric, or invulnerable, Feeling overwhelmed, helpless, or hopeless",8
"Denial, Restlessness",5
"Sadness, moodiness, grief, or depression, Guilt or 'survivor guilt'",7
"Feeling overwhelmed, helpless, or hopeless, Apathy",8
"Feeling isolated, lost, lonely, or abandoned, Over-identification with survivors",6
"None of the Above, Other",4
"Persistent stress, feeling out of control, Panic attacks, increased heart rate, chest pain, or hyperventilation",9
"Anxiety or fear, Irritability or anger",8
"Vivid or distressing dreams, Feeling misunderstood or unappreciated",6
"Feeling heroic, euphoric, or invulnerable, Worry about safety of self or others",7
"Denial, Sadness, moodiness, grief, or depression",10
"Restlessness, Guilt or 'survivor guilt'",6
"Feeling overwhelmed, helpless, or hopeless, Feeling isolated, lost, lonely, or abandoned",9
"Apathy, None of the Above",5
"Other, Panic attacks, increased heart rate, chest pain, or hyperventilation",9
"Feeling heroic, euphoric, or invulnerable, Sadness, moodiness, grief, or depression",7
"Anxiety or fear, Vivid or distressing dreams",7
"Irritability or anger, Feeling isolated, lost, lonely, or abandoned",8
"Denial, Over-identification with survivors",6
"Restlessness, Feeling misunderstood or unappreciated",5
"Sadness, moodiness, grief, or depression, None of the Above",3
"Guilt or 'survivor guilt', Other",8
"Feeling overwhelmed, helpless, or hopeless, Panic attacks, increased heart rate, chest pain, or hyperventilation",9
"Feeling heroic, euphoric, or invulnerable, Feeling misunderstood or unappreciated",8
"Anxiety or fear, Apathy",6
"Vivid or distressing dreams, Over-identification with survivors",7
